expid,count,exp,start_second,alpha,use_data_perc,accuracy,time
161,8,1.3,20,0.001,0.500,0.8090483234714004,14349
162,8,1.35,20,0.001,0.500,0.742135248947238,13464
163,8,1.375,20,0.001,0.500,0.7370284458552069,13421
164,8,1.4,20,0.001,0.500,0.7718862535700981,12482
165,8,1.425,20,0.001,0.500,0.7473528687515391,15468
166,8,1.45,20,0.001,0.500,0.7955869592165613,14179
167,8,1.5,20,0.001,0.500,0.731173488314579,13660
168,8,1.7,20,0.001,0.500,0.7466897661180547,16746
169,8,1.85,20,0.001,0.500,0.7248322147651006,36777
170,8,2.0,20,0.001,0.500,0.7527666301836313,16062
171,8,2.2,20,0.001,0.500,0.7415358194308145,14918
172,16,1.02,20,0.001,0.500,0.6304294478527608,44990
173,16,1.05,20,0.001,0.500,0.6369489846458642,40190
174,16,1.1,20,0.001,0.500,0.7326130153999006,31052
175,16,1.2,20,0.001,0.500,0.738873135248428,32649
176,16,1.3,20,0.001,0.500,0.7156826339893552,53785
177,16,1.35,20,0.001,0.500,0.7080166707526354,32127
178,16,1.375,20,0.001,0.500,0.7467983900475668,33400
179,16,1.4,20,0.001,0.500,0.787052810902896,29868
180,16,1.425,20,0.001,0.500,0.7559435364041605,34508
181,16,1.45,20,0.001,0.500,0.7771129394166043,28032
182,28,1.02,20,0.001,0.500,0.6520514390691978,49182
183,28,1.05,20,0.001,0.500,0.7201234567901235,49462
184,28,1.1,20,0.001,0.500,0.8047108673978066,55595
185,28,1.2,20,0.001,0.500,0.716305142578601,43541
186,48,1.02,20,0.001,0.500,0.7354249011857708,75386
187,48,1.05,20,0.001,0.500,0.8227312336611478,61397
188,48,1.1,20,0.001,0.500,0.6776119402985075,75393
189,8,1.02,45,0.001,0.500,0.7147073290703394,14093
190,8,1.05,45,0.001,0.500,0.699009900990099,14905
191,8,1.1,45,0.001,0.500,0.6903827281648676,14692
192,8,1.2,45,0.001,0.500,0.770375883885374,14608
193,8,1.3,45,0.001,0.500,0.750247402276101,13285
194,8,1.35,45,0.001,0.500,0.7503352432037059,15934
195,8,1.375,45,0.001,0.500,0.738442521631644,15170
196,8,1.4,45,0.001,0.500,0.7420551502411278,13922
197,8,1.425,45,0.001,0.500,0.7428536224741252,13361
198,8,1.45,45,0.001,0.500,0.7468557336621455,20873
199,8,1.5,45,0.001,0.500,0.7432969215491559,14711
200,8,1.7,45,0.001,0.500,0.8170073999749153,13638
201,8,1.85,45,0.001,0.500,0.7711978465679677,19816
202,8,2.0,45,0.001,0.500,0.7681016405575428,14801
203,16,1.02,45,0.001,0.500,0.6611397690985016,30721
204,16,1.05,45,0.001,0.500,0.776986368660199,37038
205,16,1.1,45,0.001,0.500,0.7065230845401659,27568
206,16,1.2,45,0.001,0.500,0.7569887199607651,26853
207,16,1.3,45,0.001,0.500,0.7450884685784015,35732
208,16,1.35,45,0.001,0.500,0.7948271574235265,22406
209,16,1.375,45,0.001,0.500,0.7835433654558932,30894
210,16,1.4,45,0.001,0.500,0.8213228035538006,26625
211,28,1.02,45,0.001,0.500,0.6824966078697422,53146
212,28,1.05,45,0.001,0.500,0.7072510156346178,61062
213,28,1.1,45,0.001,0.500,0.7576999503229012,45959
214,28,1.2,45,0.001,0.500,0.8086473131562693,38562
215,48,1.02,45,0.001,0.500,0.7170580964153276,69864
216,48,1.05,45,0.001,0.500,0.8133597719667864,92348
217,48,1.1,45,0.001,0.500,0.7946516192345436,63243
218,8,1.02,70,0.001,0.500,0.7408041060735672,15472
219,8,1.05,70,0.001,0.500,0.7622549019607843,15478
220,8,1.1,70,0.001,0.500,0.6682992530917106,15248
221,8,1.2,70,0.001,0.500,0.772131552917903,12260
222,8,1.3,70,0.001,0.500,0.7383177570093458,15192
223,8,1.35,70,0.001,0.500,0.7347874581732556,18686
224,8,1.375,70,0.001,0.500,0.7885532591414944,14462
225,8,1.4,70,0.001,0.500,0.7299547068184601,16000
226,8,1.425,70,0.001,0.500,0.7625688073394495,14584
227,8,1.45,70,0.001,0.500,0.7946231279155413,14672
228,8,1.5,70,0.001,0.500,0.74,25545
229,8,1.7,70,0.001,0.500,0.7667711598746082,48402
230,8,1.85,70,0.001,0.500,0.712882096069869,13073
231,16,1.02,70,0.001,0.500,0.7292247967972826,44037
232,16,1.05,70,0.001,0.500,0.7551698670605613,43731
233,16,1.1,70,0.001,0.500,0.7381390216991541,25125
234,16,1.2,70,0.001,0.500,0.7551020408163265,35689
235,16,1.3,70,0.001,0.500,0.8063573255389113,31100
236,16,1.35,70,0.001,0.500,0.7984823983082473,28561
237,16,1.375,70,0.001,0.500,0.8642206414576313,24193
238,28,1.02,70,0.001,0.500,0.7110835913312693,42116
