expid,window_fn,count,exp_add,start_second,alpha,const_norm,use_data_perc,accuracy, time
294,2,16,150,20,0.02,0,0.2,0.687366818873668,12318
380,2,28,100,20,0.02,0,0.33,0.687312312312312,25062
1162,2,28,60,2,0.4,1,0.5,0.686710025770033,37494
1266,2,16,150,20,0.4,0,0.2,0.686580882352941,17330
1428,2,16,150,20,0.4,0,0.5,0.686541737649063,35617
662,1,16,1.1,2,0.1,1,0.5,0.686453201970443,38621
300,2,28,150,20,0.02,0,0.2,0.686191198786039,14941
970,2,28,60,45,0.1,0,0.5,0.686049382716049,35266
856,1,16,1.35,20,0.1,0,0.33,0.685724962630792,27529
836,1,28,1.3,2,0.1,0,0.33,0.685590343266692,33063
56,2,28,100,20,0.02,1,0.2,0.685265104808878,17195
1156,2,16,100,2,0.4,1,0.5,0.685173658658036,38594
889,2,28,60,45,0.1,0,0.33,0.684863064396743,25195
965,2,16,60,45,0.1,0,0.5,0.684444444444444,30462
266,2,16,150,2,0.02,0,0.2,0.684325334995326,11260
822,2,8,100,2,0.1,0,0.33,0.683229813664596,10557
996,1,28,1.1,2,0.4,1,0.2,0.683009559050262,18487
917,1,28,1.3,2,0.1,0,0.5,0.682477267141804,39321
1144,2,8,10,2,0.4,1,0.5,0.682426624094314,13150
1290,2,16,100,45,0.4,0,0.2,0.681887366818874,19636
1271,2,28,100,20,0.4,0,0.2,0.68152474638795,20093
1370,2,16,60,45,0.4,0,0.33,0.681519082534311,28777
1427,2,16,100,20,0.4,0,0.5,0.681387624554066,39919
391,2,8,100,45,0.02,0,0.33,0.680886736214605,10639
884,2,16,60,45,0.1,0,0.33,0.680819366852886,22972
643,2,16,150,45,0.1,1,0.33,0.680658284023669,19726
571,1,8,1.35,2,0.1,1,0.33,0.680526810912512,9269
1400,2,16,150,2,0.4,0,0.5,0.680380528786756,44636
751,2,16,100,2,0.1,0,0.2,0.680137844611529,15894
279,1,8,1.45,20,0.02,0,0.2,0.68006230529595,6345
778,2,16,60,20,0.1,0,0.2,0.6798751950078,16545
334,2,8,10,2,0.02,0,0.33,0.679872324446113,8695
1237,2,16,100,2,0.4,0,0.2,0.679738562091503,18461
381,2,28,150,20,0.02,0,0.33,0.67951582867784,23120
771,2,8,150,20,0.1,0,0.2,0.679268292682927,6834
